                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.7041,                 1.2757,                 1.3876,                 0.7114,                0.57038,                0.62227,                 0.3024,                 1.8278,                 1.0781,                 1.2621,               0.004984,               0.004984,               0.004984
                     78,                 1.7011,                 1.2732,                 1.3843,                0.71003,                0.56937,                0.62372,                0.30622,                  1.818,                 1.0746,                 1.2556,               0.004918,               0.004918,               0.004918
                     79,                 1.6946,                 1.2671,                 1.3804,                0.71739,                0.56761,                0.62114,                0.30349,                 1.8333,                 1.0806,                 1.2617,               0.004852,               0.004852,               0.004852
                     80,                 1.6906,                 1.2676,                 1.3769,                0.70786,                 0.5762,                0.62435,                 0.3047,                 1.8266,                 1.0831,                 1.2622,               0.004786,               0.004786,               0.004786
                     81,                 1.6972,                 1.2766,                 1.3803,                0.70931,                   0.57,                 0.6203,                0.30404,                 1.8261,                 1.0788,                 1.2589,                0.00472,                0.00472,                0.00472
                     82,                 1.6948,                 1.2678,                 1.3782,                0.71166,                 0.5743,                0.62393,                0.30415,                 1.8324,                 1.0767,                 1.2626,               0.004654,               0.004654,               0.004654
                     83,                 1.6969,                 1.2642,                 1.3773,                0.71448,                0.57683,                0.62636,                0.30753,                 1.8158,                  1.078,                  1.254,               0.004588,               0.004588,               0.004588
                     84,                 1.6992,                 1.2657,                 1.3782,                0.71595,                0.57076,                0.62274,                0.30597,                 1.8131,                 1.0723,                  1.254,               0.004522,               0.004522,               0.004522
                     85,                 1.6973,                 1.2646,                 1.3759,                 0.7207,                0.57078,                 0.6247,                0.30553,                 1.8234,                 1.0715,                 1.2575,               0.004456,               0.004456,               0.004456
                     86,                 1.6925,                 1.2688,                 1.3772,                0.70669,                0.57927,                0.62707,                0.30701,                 1.8271,                 1.0692,                 1.2567,                0.00439,                0.00439,                0.00439
                     87,                 1.6982,                 1.2667,                   1.38,                0.71907,                0.56861,                0.62511,                0.30591,                 1.8329,                 1.0715,                 1.2573,               0.004324,               0.004324,               0.004324
