frame_id,class_name,x1,y1,x2,y2,confidence
734,potted plant,1723,274,1793,413,0.7279930114746094
735,truck,1116,572,1222,630,0.6341187357902527
736,truck,1108,571,1219,633,0.8314458131790161
736,car,1108,570,1219,631,0.8464144468307495
737,truck,1100,571,1218,630,0.8008843660354614
737,truck,1103,575,1211,631,0.5263904929161072
737,car,1102,573,1214,629,0.7197037935256958
738,truck,1098,571,1209,630,0.8140667080879211
738,car,1098,570,1212,628,0.8199284076690674
739,truck,1094,573,1203,630,0.856887936592102
739,car,1093,571,1205,628,0.9235195517539978
740,truck,1088,571,1201,627,0.5517867207527161
740,car,1086,571,1200,627,0.9595907330513
741,car,1078,569,1193,625,0.5915415287017822
741,truck,1076,568,1196,626,0.9756889939308167
742,car,1075,569,1191,625,0.8048449754714966
743,truck,1067,567,1185,627,0.9028362035751343
743,car,1069,568,1183,625,0.9196894764900208
744,truck,1059,566,1180,627,0.7291992902755737
744,car,1061,567,1179,626,0.946331799030304
745,car,1057,566,1170,628,0.5263152122497559
746,truck,1052,568,1162,625,0.9035125374794006
746,car,1051,567,1163,625,0.8046222925186157
747,truck,1049,566,1159,622,0.8321184515953064
747,car,1049,566,1161,623,0.618971049785614
748,truck,1038,568,1156,624,0.9208726286888123
748,car,1039,568,1156,624,0.7016274929046631
749,truck,1035,567,1149,624,0.8766512870788574
750,truck,1030,568,1149,624,0.985159695148468
751,truck,1028,566,1146,626,0.8345199823379517
752,truck,1020,566,1139,625,0.9367755651473999
753,truck,1012,567,1130,625,0.9829152822494507
754,truck,1007,566,1122,625,0.9882871508598328
755,truck,1002,565,1116,626,0.9939462542533875
756,truck,995,560,1116,626,0.9416350722312927
757,truck,993,564,1109,621,0.9602157473564148
758,truck,989,563,1108,626,0.8751661777496338
759,truck,994,560,1214,624,0.5684427618980408
759,truck,982,560,1097,622,0.8472568392753601
760,truck,975,561,1093,621,0.9704380035400391
761,truck,969,560,1092,620,0.9800894260406494
762,truck,969,563,1078,622,0.5262410044670105
762,truck,965,561,1079,622,0.737538754940033
763,truck,959,559,1070,623,0.9664163589477539
764,truck,961,563,1065,623,0.7894838452339172
765,truck,951,560,1062,623,0.9190947413444519
766,truck,948,564,1063,621,0.6184105277061462
767,truck,943,563,1053,620,0.904732882976532
768,truck,939,563,1050,623,0.7212644219398499
768,car,937,561,1053,622,0.6348521709442139
769,car,929,562,1045,621,0.7974797487258911
769,truck,930,564,1042,622,0.8960968255996704
770,truck,922,564,1042,622,0.7775204181671143
772,car,909,555,1026,621,0.5073338747024536
772,truck,910,558,1021,623,0.6472903490066528
780,truck,864,563,978,619,0.6402246952056885
787,train,824,559,944,613,0.685114324092865
796,train,759,561,892,617,0.6035810708999634
833,car,1,486,1918,735,0.5187126994132996
882,vase,1820,352,1879,458,0.6246067881584167
883,vase,1822,352,1879,453,0.8761155009269714
885,vase,1824,353,1879,459,0.5328897833824158
886,vase,1826,353,1878,449,0.5455379486083984
890,vase,1824,353,1881,459,0.5134009718894958
891,vase,1824,353,1880,462,0.8656889200210571
892,vase,1824,352,1879,467,0.5571430325508118
896,vase,1825,354,1877,459,0.534551203250885
901,potted plant,205,575,321,623,0.5022969245910645
921,train,95,568,227,624,0.8895556926727295
926,train,72,568,192,622,0.7349523901939392
928,train,55,569,186,622,0.6796973347663879
935,car,30,573,152,627,0.7483419179916382
937,car,13,574,148,628,0.5900141596794128
939,car,4,576,138,632,0.8189650177955627
940,car,7,575,125,631,0.5242778062820435
941,car,2,572,120,631,0.8474876880645752
942,car,0,571,112,629,0.560124397277832
943,vase,1825,351,1880,456,0.6320353150367737
945,car,0,565,106,631,0.7269700765609741
945,vase,1823,350,1881,455,0.9350990653038025
946,car,0,571,111,635,0.8667953610420227
946,vase,1823,351,1880,450,0.8869786858558655
953,vase,1824,353,1879,471,0.8090592622756958
999,car,1573,642,1621,669,0.6219954490661621
1035,vase,1823,352,1878,470,0.7324928045272827
1036,vase,1825,355,1879,469,0.8969602584838867
1042,vase,1824,354,1884,472,0.9050488471984863
1043,vase,1825,353,1883,470,0.889665961265564
1044,vase,1824,353,1881,468,0.9027628898620605
1045,vase,1825,353,1879,467,0.6337372660636902
1060,vase,1826,354,1878,463,0.5603166222572327
1063,vase,1825,355,1877,463,0.5842418670654297
1064,vase,1825,355,1877,462,0.6316229104995728
1065,vase,1825,355,1878,461,0.5844578742980957
