                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                0.87482,                0.42809,                 0.9815,                0.84296,                0.78138,                 0.8252,                0.47117,                 1.4459,                0.59684,                 1.1717,                0.00241,                0.00241,                0.00241
                    117,                0.86646,                0.42415,                0.97674,                0.84095,                0.78301,                0.82418,                0.47108,                 1.4474,                0.59757,                 1.1742,               0.002344,               0.002344,               0.002344
                    118,                0.86463,                0.42351,                0.97578,                0.83865,                0.78162,                0.82351,                0.47158,                 1.4436,                0.59639,                 1.1729,               0.002278,               0.002278,               0.002278
                    119,                0.85877,                0.42083,                0.97564,                 0.8428,                0.78109,                0.82411,                 0.4719,                 1.4427,                0.59531,                 1.1753,               0.002212,               0.002212,               0.002212
                    120,                0.85726,                0.42105,                0.97448,                 0.8472,                0.77615,                0.82373,                0.47046,                 1.4474,                0.59777,                 1.1806,               0.002146,               0.002146,               0.002146
                    121,                0.85546,                0.41792,                0.97193,                 0.8459,                0.77906,                0.82343,                0.46968,                 1.4488,                0.59893,                 1.1814,                0.00208,                0.00208,                0.00208
                    122,                0.85024,                0.41484,                0.96762,                0.84612,                0.77884,                0.82443,                0.46978,                 1.4521,                0.60023,                 1.1819,               0.002014,               0.002014,               0.002014
                    123,                0.84555,                0.41238,                0.96325,                0.84659,                0.78032,                0.82393,                0.47011,                 1.4486,                0.60051,                 1.1785,               0.001948,               0.001948,               0.001948
                    124,                0.84595,                0.41411,                0.96576,                0.84562,                0.77864,                0.82244,                0.46862,                 1.4534,                0.60351,                 1.1812,               0.001882,               0.001882,               0.001882
                    125,                0.83708,                 0.4115,                0.96795,                0.84785,                0.77589,                0.82067,                0.46901,                 1.4526,                0.60449,                 1.1813,               0.001816,               0.001816,               0.001816
                    126,                0.83613,                0.41034,                0.96322,                0.85361,                0.77349,                0.82255,                0.46963,                 1.4523,                0.60416,                  1.181,                0.00175,                0.00175,                0.00175
                    127,                0.83296,                0.40683,                0.96211,                0.85093,                0.77577,                0.82228,                0.46924,                 1.4525,                0.60402,                 1.1819,               0.001684,               0.001684,               0.001684
                    128,                0.82769,                0.40575,                0.96058,                0.84971,                0.77552,                0.82298,                0.46959,                 1.4538,                  0.604,                 1.1838,               0.001618,               0.001618,               0.001618
                    129,                0.82936,                0.40614,                0.95795,                0.85061,                0.77526,                0.82342,                0.46951,                 1.4552,                0.60616,                 1.1841,               0.001552,               0.001552,               0.001552
                    130,                0.82424,                0.40378,                0.95835,                0.85385,                0.77273,                0.82317,                0.46963,                 1.4559,                0.60675,                 1.1863,               0.001486,               0.001486,               0.001486
                    131,                0.82269,                0.40275,                0.95836,                0.85535,                0.77177,                0.82346,                0.46937,                 1.4574,                0.60643,                 1.1876,                0.00142,                0.00142,                0.00142
                    132,                0.81762,                 0.4018,                 0.9543,                0.85387,                0.77539,                0.82437,                0.46954,                 1.4591,                0.60717,                 1.1876,               0.001354,               0.001354,               0.001354
                    133,                0.81215,                0.40073,                 0.9543,                0.85357,                0.77589,                0.82415,                0.46885,                 1.4603,                  0.607,                 1.1885,               0.001288,               0.001288,               0.001288
                    134,                0.80986,                0.39773,                0.95498,                0.85204,                0.77552,                0.82427,                0.46903,                 1.4589,                0.60716,                 1.1888,               0.001222,               0.001222,               0.001222
                    135,                0.80912,                0.39768,                0.95223,                 0.8475,                0.77906,                0.82265,                0.46851,                  1.458,                0.60715,                 1.1892,               0.001156,               0.001156,               0.001156
                    136,                0.80028,                0.39291,                0.94797,                0.84736,                 0.7786,                0.82338,                0.46818,                 1.4595,                0.60779,                 1.1905,                0.00109,                0.00109,                0.00109
                    137,                0.80034,                0.39199,                 0.9479,                0.84607,                0.77853,                0.82347,                0.46859,                  1.459,                0.60926,                 1.1909,               0.001024,               0.001024,               0.001024
                    138,                0.79852,                0.39189,                0.94517,                0.84679,                0.77817,                0.82317,                0.46865,                 1.4589,                0.60847,                 1.1915,               0.000958,               0.000958,               0.000958
                    139,                  0.795,                0.38909,                0.94845,                 0.8482,                0.77703,                0.82269,                 0.4683,                 1.4587,                0.60935,                 1.1924,               0.000892,               0.000892,               0.000892
                    140,                0.78937,                0.38732,                0.94403,                0.84388,                 0.7788,                 0.8225,                 0.4681,                 1.4592,                0.60893,                 1.1926,               0.000826,               0.000826,               0.000826
                    141,                0.75418,                0.35075,                0.93753,                0.84802,                0.77557,                0.82235,                 0.4677,                 1.4594,                0.60961,                 1.1936,                0.00076,                0.00076,                0.00076
                    142,                0.74202,                0.34517,                0.93505,                0.84633,                0.77731,                0.82218,                  0.468,                 1.4582,                0.60926,                 1.1941,               0.000694,               0.000694,               0.000694
                    143,                0.73555,                0.34214,                0.93046,                0.84567,                0.77767,                0.82152,                0.46793,                 1.4571,                0.60974,                 1.1944,               0.000628,               0.000628,               0.000628
                    144,                0.73215,                0.34247,                 0.9295,                0.84551,                0.77727,                0.82145,                0.46752,                 1.4573,                0.61014,                 1.1952,               0.000562,               0.000562,               0.000562
                    145,                 0.7258,                0.33963,                0.92672,                 0.8468,                0.77767,                0.82132,                0.46767,                  1.457,                0.61037,                 1.1959,               0.000496,               0.000496,               0.000496
                    146,                0.72194,                0.33618,                 0.9267,                0.84695,                0.77615,                0.82077,                 0.4669,                 1.4578,                0.61098,                 1.1973,                0.00043,                0.00043,                0.00043
                    147,                0.71978,                0.33614,                0.92376,                0.84837,                0.77767,                0.82084,                0.46646,                 1.4593,                0.61184,                  1.199,               0.000364,               0.000364,               0.000364
                    148,                0.71517,                0.33381,                0.92282,                0.84968,                0.77776,                0.82106,                0.46634,                 1.4605,                0.61247,                 1.2001,               0.000298,               0.000298,               0.000298
                    149,                0.71295,                0.33263,                0.92118,                0.84824,                0.77956,                0.82096,                0.46587,                 1.4609,                0.61262,                 1.2006,               0.000232,               0.000232,               0.000232
                    150,                0.71284,                0.33377,                0.92206,                0.84714,                0.78057,                0.82187,                0.46613,                 1.4612,                0.61327,                 1.2011,               0.000166,               0.000166,               0.000166
